health_worker_id,health_worker_name,role,contact_token,district,area,assigned_patient_count,response_status
HW0001,Ayesha Islam,CHW,HW-J3DT-Q1TV-UND,Dhaka,Mirpur,51,Available
HW0002,Kaniz Chowdhury,nurse,HW-31H4-XF07-DIR,Dhaka,Mirpur,56,Available
HW0003,Nusrat Islam,doctor,HW-P89D-P0UN-GXH,Dhaka,Mirpur,63,Unavailable
HW0004,Hasan Chowdhury,nurse,HW-5880-5H3M-HJ2,Dhaka,Mohammadpur,49,Available
HW0005,Ayesha Sultana,doctor,HW-9PLE-L6ZA-K33,Dhaka,Mohammadpur,55,Available
HW0006,Sabina Begum,CHW,HW-FATS-GWUE-W4V,Dhaka,Mohammadpur,62,Available
HW0007,Ayesha Jahan,CHW,HW-BB68-BTUH-SPF,Dhaka,Jatrabari,51,Delayed
HW0008,Tania Parvin,CHW,HW-PDE1-FJGJ-36Y,Dhaka,Jatrabari,52,Delayed
HW0009,Rina Mia,CHW,HW-CDOR-W4J3-G6F,Dhaka,Jatrabari,59,Available
HW0010,Fatema Ferdous,nurse,HW-44SD-GFAX-GFO,Dhaka,Uttara,51,Available
HW0011,Sabina Hossain,nurse,HW-YP3Q-FHSX-OPI,Dhaka,Uttara,65,Available
HW0012,Mariam Islam,CHW,HW-BBM7-SQN8-2H2,Dhaka,Uttara,52,Available
HW0013,Tania Jahan,CHW,HW-WZCP-A373-BYD,Dhaka,Dhanmondi,45,Unavailable
HW0014,Mou Sultana,CHW,HW-Y3AA-WIZE-7VR,Dhaka,Dhanmondi,70,Delayed
HW0015,Hasan Rahman,CHW,HW-TZW9-58VR-A93,Dhaka,Dhanmondi,57,Available
HW0016,Nusrat Khatun,CHW,HW-DZQX-QG8R-G1V,Dhaka,Badda,46,Available
HW0017,Jannatul Begum,CHW,HW-6Z62-2FHS-TIF,Dhaka,Badda,54,Delayed
HW0018,Mou Ahmed,CHW,HW-127E-89A5-WW7,Dhaka,Badda,50,Available
HW0019,Rakib Mia,CHW,HW-ZX63-O9TK-J14,Narayanganj,Siddhirganj,77,Delayed
HW0020,Namira Akter,CHW,HW-BKE3-MYNV-O7L,Narayanganj,Siddhirganj,68,Available
HW0021,Rakib Ferdous,CHW,HW-7JDA-44CB-Z0Z,Narayanganj,Siddhirganj,63,Available
HW0022,Jannatul Islam,CHW,HW-XRW8-LHMA-W10,Narayanganj,Fatullah,85,Available
HW0023,Saima Rahman,nurse,HW-TLU9-TQE4-KC2,Narayanganj,Fatullah,63,Delayed
HW0024,Saima Chowdhury,nurse,HW-NVH3-SW97-UOC,Narayanganj,Fatullah,60,Available
HW0025,Namira Begum,CHW,HW-LXRN-0J8F-61H,Narayanganj,Sonargaon,68,Available
HW0026,Sadia Jahan,nurse,HW-JPJL-Y7SH-EOW,Narayanganj,Sonargaon,58,Available
HW0027,Tahmina Jahan,CHW,HW-X3IC-SZF6-KJR,Narayanganj,Sonargaon,55,Available
HW0028,Farzana Mia,CHW,HW-2DY2-15UH-G9S,Narayanganj,Bandar,66,Available
HW0029,Farzana Islam,nurse,HW-XEWR-NQ0G-1IF,Narayanganj,Bandar,73,Delayed
HW0030,Hasan Hossain,CHW,HW-SZ2N-N42L-BGX,Narayanganj,Bandar,77,Available
HW0031,Emon Ferdous,CHW,HW-4LXT-7YDH-7EW,Narayanganj,Rupganj,69,Available
HW0032,Sabina Hossain,CHW,HW-4VMT-EYH3-OED,Narayanganj,Rupganj,69,Available
HW0033,Ayesha Nahar,doctor,HW-G6T0-G55O-61H,Narayanganj,Rupganj,64,Available
HW0034,Tania Jahan,CHW,HW-HMA6-Z3F0-QQ8,Gazipur,Tongi,69,Available
HW0035,Fatema Nahar,CHW,HW-NKS3-IUW1-5MI,Gazipur,Tongi,63,Delayed
HW0036,Namira Islam,CHW,HW-O24O-YNA9-L06,Gazipur,Tongi,56,Available
HW0037,Nusrat Akter,CHW,HW-JFEC-KX9Y-7WG,Gazipur,Kaliakair,77,Available
HW0038,Hasan Islam,doctor,HW-PQ0E-Q9ZF-6X4,Gazipur,Kaliakair,67,Available
HW0039,Nusrat Islam,CHW,HW-QOSE-PQF5-SGA,Gazipur,Kaliakair,53,Available
HW0040,Shirin Begum,CHW,HW-G0WY-T70M-LR9,Gazipur,Kapasia,55,Available
HW0041,Jannatul Akter,doctor,HW-I7N5-NZM0-2LS,Gazipur,Kapasia,59,Available
HW0042,Rakib Rahman,nurse,HW-7436-KFD9-2FI,Gazipur,Kapasia,76,Available
HW0043,Shirin Hossain,CHW,HW-UVL7-23NP-FG8,Gazipur,Sreepur,78,Available
HW0044,Rakib Parvin,CHW,HW-C454-SS75-APQ,Gazipur,Sreepur,68,Available
